cip6,field,category
240101,Liberal arts and sciences/liberal studies,nonstem
240102,General studies,nonstem
240103,Humanities/humanistic studies,nonstem
240199,"Liberal arts and sciences, general studies and humanities, other",nonstem
301301,Medieval and renaissance studies,nonstem
301501,"Science, technology and society",nonstem
302201,Ancient studies/civilization,nonstem
302202,"Classical, ancient Mediterranean and Near Eastern studies",nonstem
380001,"Philosophy and religious studies, general",nonstem
380101,Philosophy,nonstem
380102,Logic,nonstem
380103,Ethics,nonstem
380104,Applied and professional ethics,nonstem
380199,"Philosophy, other",nonstem
380201,Religion/religious studies,nonstem
380202,Buddhist studies,nonstem
380203,Christian studies,nonstem
380204,Hindu Studies,nonstem
380205,Islamic studies,nonstem
380206,Jewish/Judaic studies,nonstem
380299,"Religion/religious studies, other",nonstem
389999,"Philosophy and religious studies, other",nonstem
390201,Bible/biblical studies,nonstem
390301,Missions/missionary studies and missiology,nonstem
390501,Religious/sacred music,nonstem
390601,Theology/theological studies,nonstem
390602,Divinity/ministry,nonstem
390604,Pre-theology/pre-ministerial studies,nonstem
390605,Rabbinical studies,nonstem
390606,Talmudic studies,nonstem
390699,"Theological and ministerial studies, other",nonstem
390701,Pastoral studies/counseling,nonstem
390702,Youth ministry,nonstem
390703,Urban ministry,nonstem
390704,Women's ministry,nonstem
390705,Lay ministry,nonstem
390799,"Pastoral counseling and specialized ministries, other",nonstem
399999,"Theology and religious vocations, other",nonstem
450301,Archeology,nonstem
500101,"Visual and performing arts, general",nonstem
500102,Digital arts,nonstem
500201,"Crafts/craft design, folk art, and artisanry",nonstem
500301,"Dance, general",nonstem
500302,Ballet,nonstem
500399,"Dance, other",nonstem
500401,"Design and visual communications, general",nonstem
500402,Commercial and advertising art,nonstem
500404,Industrial design,nonstem
500406,Commercial photography,nonstem
500407,Fashion/apparel design,nonstem
500408,Interior design,nonstem
500409,Graphic design,nonstem
50041,Illustration,nonstem
500411,Game and interactive media design,nonstem
500499,"Design and applied arts, other",nonstem
500501,"Drama and dramatics/theatre arts, general",nonstem
500502,Technical theatre/theatre design and technology,nonstem
500504,Playwriting and screenwriting,nonstem
500505,"Theatre literature, history, and criticism",nonstem
500506,Acting,nonstem
500507,Directing and theatrical production,nonstem
500509,Musical theatre,nonstem
50051,Costume design,nonstem
500599,"Dramatic/theatre arts and stagecraft, other",nonstem
500601,Film/cinema studies,nonstem
500602,Cinematography and film/video production,nonstem
500605,Photography,nonstem
500607,Documentary production,nonstem
500699,"Film/video and photographic arts, other",nonstem
500701,"Art/art studies, general",nonstem
500702,"Fine/studio arts, general",nonstem
500703,"Art history, criticism, and conservation",nonstem
500705,Drawing,nonstem
500706,Intermedia/multimedia,nonstem
500708,Painting,nonstem
500709,Sculpture,nonstem
50071,Printmaking,nonstem
500711,Ceramic arts and ceramics,nonstem
500712,"Fiber, textile, and weaving arts",nonstem
500713,Metal and jewelry arts,nonstem
500799,"Fine arts and art studies, other",nonstem
500901,"Music, general",nonstem
500902,"Music history, literature, and theory",nonstem
500903,"Music performance, general",nonstem
500904,Music theory and composition,nonstem
500905,Musicology and ethnomusicology,nonstem
500906,Conducting,nonstem
500907,Piano and organ,nonstem
500908,Voice and opera,nonstem
50091,Jazz/jazz studies,nonstem
500911,"Violin, viola, guitar, and other stringed instruments",nonstem
500912,Music pedagogy,nonstem
500913,Music technology,nonstem
500914,Brass instruments,nonstem
500915,Woodwind instruments,nonstem
500916,Percussion instruments,nonstem
500999,"Music, other",nonstem
501001,"Arts, entertainment,and media management, general",nonstem
501002,Fine and studio arts management,nonstem
501004,Theatre/theatre arts management,nonstem
501099,"Arts, entertainment, and media management, other",nonstem
509999,"Visual and performing arts, other",nonstem
511506,Clinical pastoral counseling/patient counseling,nonstem
540101,"History, general",nonstem
540102,American (US) history,nonstem
540103,European history,nonstem
540104,History and philosophy of science and technology,nonstem
540106,Asian history,nonstem
540108,Military history,nonstem
540199,"History, other",nonstem
100105,Communications technology/technician,nonstem
100201,Photographic and film/video technology/technician and assistant,nonstem
100202,Radio and television broadcasting technology/technician,nonstem
100203,Recording arts technology/technician,nonstem
100299,"Audiovisual communications technologies/technicians, other",nonstem
109999,"Communications technologies/technicians and support services, other",nonstem
15,"Engineering technology, general",nonstem
150101,Architectural engineering technology/technician,nonstem
150201,Civil engineering technology/technician,nonstem
150303,"Electrical, electronic and communications engineering technology/technician",nonstem
150304,Laser and optical technology/technician,nonstem
150305,Telecommunications technology/technician,nonstem
150306,Integrated Circuit Design,nonstem
150399,"Electrical and electronic engineering technologies/technicians, other",nonstem
150401,Biomedical technology/technician,nonstem
150403,Electromechanical technology/electromechanical engineering technology,nonstem
150404,Instrumentation technology/technician,nonstem
150405,Robotics technology/technician,nonstem
150406,Automation engineer technology/technician,nonstem
150499,Electromechanical and instrumentation and maintenance technologies/technicians,nonstem
150501,"Heating, air conditioning, and refrigeration technology/technician (ach/acr/achr/hr)",nonstem
150503,Energy management and systems technology/technician,nonstem
150505,Solar energy technology/technician,nonstem
150506,Water quality and wastewater treatment management and recycling technology,nonstem
150507,Environmental engineering technology/environmental technology,nonstem
150508,Hazardous materials management and waste technology/technician,nonstem
150599,"Environmental control technologies/technicians, other",nonstem
150607,Plastics engineering technology/technician,nonstem
150611,Metallurgical technology/technician,nonstem
150612,Industrial technology/technician,nonstem
150613,Manufacturing technology/technician,nonstem
150614,Welding engineering technology/technician,nonstem
150615,Chemical Engineering Technology/Technician,nonstem
150699,"Industrial production technologies/technicians, other",nonstem
150701,Occupational safety and health technology/technician,nonstem
150702,Quality control technology/technician,nonstem
150703,Industrial safety technology/technician,nonstem
150799,"Quality control and safety technologies/technicians, other",nonstem
150801,Aeronautical/aerospace engineering technology/technician,nonstem
150803,Automotive engineering technology/technician,nonstem
150805,Mechanical engineering/mechanical technology/technician,nonstem
150899,"Mechanical engineering–related technologies/technicians, other",nonstem
150901,Mining technology/technician,nonstem
150903,Petroleum technology/technician,nonstem
150999,"Mining and petroleum technologies/technicians, other",nonstem
151001,Construction engineering technology/technician,nonstem
151102,Survey technology/surveying,nonstem
151103,Hydraulics and fluid power technology/technician,nonstem
151199,"Engineering-related technologies, other",nonstem
151201,Computer engineering technology/technician,nonstem
151202,Computer technology/computer systems technology,nonstem
151203,Computer hardware technology/technician,nonstem
151204,Computer software technology/technician,nonstem
151299,"Computer engineering technologies/technicians, other",nonstem
151301,"Drafting and design technology/technician, general",nonstem
151302,Cad/cadd drafting and/or design technology/technician,nonstem
151303,Architectural drafting and architectural cad/cadd,nonstem
151304,Civil drafting and civil engineering cad/cadd,nonstem
151305,Electrical/electronics drafting and electrical/electronics cad/cadd,nonstem
151306,Mechanical drafting and mechanical drafting cad/cadd,nonstem
151399,"Drafting/design engineering technologies/technicians, other",nonstem
151401,Nuclear engineering technology/technician,nonstem
151502,Engineering design,nonstem
151503,Packaging science,nonstem
151599,"Engineering-related fields, other",nonstem
151601,Nanotechnology,nonstem
159999,"Engineering technologies/technicians, other",nonstem
161601,American Sign Language (ASL),nonstem
161603,Sign language interpretation and translation,nonstem
161699,"American Sign Language, other",nonstem
290101,Military technologies,nonstem
290201,"Intelligence, general",nonstem
290202,Strategic intelligence,nonstem
290207,Cyber/electronic operations and warfare,nonstem
290299,"Intelligence, command control and information operations, other",nonstem
290399,"Military applied sciences, other",nonstem
290401,Aerospace Ground Equipment Technology,nonstem
290402,Air and Space Operations Technology,nonstem
290499,"Military systems and maintenance technology, other",nonstem
299999,"Military technologies and applied sciences, other",nonstem
41,"Science technologies/technicians, general",nonstem
410101,Biology technician/biotechnology laboratory technician,nonstem
410205,Nuclear/nuclear power technology/technician,nonstem
410299,"Nuclear and industrial radiologic technologies/technicians,  other",nonstem
410301,Chemical technology/technician,nonstem
410399,"Physical science technologies/technicians, other",nonstem
419999,"Science technologies/technicians, other",nonstem
480508,Welding technology/welder,nonstem
510601,Dental assisting/assistant,nonstem
510602,Dental hygiene/hygienist,nonstem
510603,Dental laboratory technology/technician,nonstem
510699,"Dental services and allied professions, other",nonstem
510703,Health unit coordinator/ward clerk,nonstem
510704,Health unit manager/ward supervisor,nonstem
510705,Medical office management/administration,nonstem
510707,Health information/medical records technology/technician,nonstem
51071,Medical office assistant/specialist,nonstem
510711,Medical/health management and clinical assistant/specialist,nonstem
510713,Medical insurance coding specialist/coder,nonstem
510719,Clinical research coordinator,nonstem
510801,Medical/clinical assistant,nonstem
510802,Clinical/medical laboratory assistant,nonstem
510803,Occupational therapist assistant,nonstem
510805,Pharmacy technician/assistant,nonstem
510806,Physical therapy technician/assistant,nonstem
510808,Veterinary/animal health technology/technician and veterinary assistant,nonstem
51081,Emergency care attendant (emt ambulance),nonstem
510811,Pathology/pathologist assistant,nonstem
510812,Respiratory therapy technician/assistant,nonstem
510814,Radiologist assistant,nonstem
510899,"Health/medical assisting services, other",nonstem
510901,Cardiovascular technology/technologist,nonstem
510902,Electrocardiograph technology/technician,nonstem
510903,Electroneurodiagnostic/electroencephalographic technology/technologist,nonstem
510904,Emergency medical technology/technician (emt paramedic),nonstem
510905,Nuclear medical technology/technologist,nonstem
510906,Perfusion technology/perfusionist,nonstem
510907,Medical radiologic technology/science – radiation therapist,nonstem
510908,Respiratory care therapy/therapist,nonstem
510909,Surgical technology/technologist,nonstem
51091,Diagnostic medical sonography/sonographer and ultrasound  technician,nonstem
510911,Radiologic technology/science – radiographer,nonstem
510912,Physician assistant,nonstem
510999,"Allied health diagnostic, intervention, and treatment professions, other",nonstem
511001,Blood bank technology specialist,nonstem
511002,Cytotechnology/cytotechnologist,nonstem
511003,Hematology technology/technician,nonstem
511004,Clinical/medical laboratory technician,nonstem
511005,Clinical laboratory science/medical technology/technologist,nonstem
511007,Histologic technology/histotechnologist,nonstem
511008,Histologic technician,nonstem
51101,Cytogenetics/genetics/clinical genetics technology/technologist,nonstem
511099,"Clinical/medical laboratory science and allied professions, other",nonstem
511199,"Health/medical preparatory programs, other",nonstem
511501,Substance abuse/addiction counseling,nonstem
511502,Psychiatric/mental health services technician,nonstem
511504,Community health services/liaison/counseling,nonstem
511508,Mental health counseling/counselor,nonstem
511509,Genetic counseling/counselor,nonstem
511599,"Mental and social health services and allied professions, other",nonstem
511803,Ophthalmic technician/technologist,nonstem
511804,Orthoptics/orthoptist,nonstem
511899,"Ophthalmic and optometric support services and alliedprofessions, other",nonstem
512301,Art therapy/therapist,nonstem
512302,Dance therapy/therapist,nonstem
512305,Music therapy/therapist,nonstem
512307,Orthotist/prosthetist,nonstem
512309,Therapeutic recreation/ recreational therapy,nonstem
51231,Vocational rehabilitation counseling/counselor,nonstem
512399,"Rehabilitation and therapeutic professions, other",nonstem
512703,Medical illustration/medical illustrator,nonstem
512706,Medical informatics,nonstem
512799,"Medical illustration and informatics, other",nonstem
513103,Dietetic technician,nonstem
513601,Movement therapy and movement education,nonstem
513901,Family practice nurse/nursing,nonstem
513902,Family practice nurse/nursing,nonstem
10101,"Agricultural business and management, general",nonstem
10102,Agribusiness/agricultural business operations,nonstem
10104,Farm/farm and ranch management,nonstem
10105,Agricultural/farm supplies retailing and wholesaling,nonstem
10106,Agricultural business technology,nonstem
10199,"Agricultural business and management, other",nonstem
10201,"Agricultural mechanization, general",nonstem
10205,Agricultural mechanics and equipment/machine technology,nonstem
10299,"Agricultural mechanization, other",nonstem
10301,"Agricultural production operations, general",nonstem
10302,Animal/livestock husbandry and production,nonstem
10303,Aquaculture,nonstem
10304,Crop production,nonstem
10306,Dairy husbandry and production,nonstem
10307,Horse husbandry/equine science and management,nonstem
10309,Viticulture and enology,nonstem
10401,Agricultural and food products processing,nonstem
10507,Equestrian/equine studies,nonstem
10599,"Agricultural and domestic animals services, other",nonstem
10601,"Applied horticulture/horticultural operations, general",nonstem
10603,Ornamental horticulture,nonstem
10605,Landscaping and groundskeeping,nonstem
10606,Plant nursery operations and management,nonstem
10607,Turf and turfgrass management,nonstem
10608,Floriculture/floristry operations and management,nonstem
10699,"Applied horticulture/horticultural business services, other",nonstem
10701,International agriculture,nonstem
30511,Forestry technology/technician,nonstem
40201,Architecture,nonstem
40301,"City/urban, community, and regional planning",nonstem
40401,Environmental design/architecture,nonstem
40501,Interior architecture,nonstem
40601,Landscape architecture,nonstem
40801,"Architectural history and criticism, general",nonstem
40901,Architectural technology/technician,nonstem
40902,Architectural and building sciences/technology,nonstem
40999,"Architectural sciences and technology, other",nonstem
41001,Real estate development,nonstem
49999,"Architecture and related services, other",nonstem
901,"Communication, general",nonstem
90101,Communication studies/speech communication and rhetoric,nonstem
90102,Mass communication/media studies,nonstem
90199,"Communication and media studies, other",nonstem
90401,Journalism,nonstem
90402,Broadcast journalism,nonstem
90404,Photojournalism,nonstem
90499,"Journalism, other",nonstem
90701,Radio and television,nonstem
90702,Digital communication and media/multimedia,nonstem
90799,"Radio, television, and digital communication, other",nonstem
909,"Public relations, advertising, and applied communication",nonstem
90901,"Organizational communication, general",nonstem
90902,Public relations/image management,nonstem
90903,Advertising,nonstem
90904,Political communication,nonstem
90905,Health communication,nonstem
90906,Sports communication,nonstem
90907,International and intercultural communication,nonstem
90908,Technical and scientific communication,nonstem
90999,"Public relations, advertising, and applied communication, other",nonstem
91001,Publishing,nonstem
99999,"Communication, journalism, and related programs, other",nonstem
100301,"Graphic communications, general",nonstem
100302,Printing management,nonstem
100303,Prepress/desktop publishing and digital imaging design,nonstem
100304,"Animation, interactive technology, video graphics, and special effects",nonstem
100305,"Graphic and printing equipment operator, general production",nonstem
100307,Printing press operator,nonstem
100399,"Graphic communications, other",nonstem
120301,"Funeral service and mortuary science, general",nonstem
120302,Funeral direction/service,nonstem
120401,"Cosmetology/cosmetologist, general",nonstem
1205,"Cooking and related culinary arts, general",nonstem
120501,Baking and pastry arts/baker/pastry chef,nonstem
120502,Bartending/bartender,nonstem
120503,Culinary arts/chef training,nonstem
120504,"Restaurant, culinary, and catering management/manager",nonstem
120505,Food preparation/professional cooking/kitchen assistant,nonstem
120507,"Food service, waiter/waitress, and dining room management/manager",nonstem
120508,Institutional food workers,nonstem
120509,Culinary science/culinology,nonstem
120599,"Culinary arts and related services, other",nonstem
129999,"Personal and culinary services, other",nonstem
19,"Work and family studies, general",nonstem
190101,"Family and consumer sciences/human sciences, general",nonstem
190201,Business family and consumer sciences/human sciences,nonstem
190202,Family and consumer sciences/human sciences communication,nonstem
190203,Consumer merchandising/retailing management,nonstem
190299,"Family and consumer sciences/human sciences business services, other",nonstem
190401,"Family resource management studies, general",nonstem
190402,Consumer economics,nonstem
190403,Consumer services and advocacy,nonstem
190499,"Family and consumer economics and related services, other",nonstem
190501,"Foods, nutrition, and wellness studies, general",nonstem
190504,Human nutrition,nonstem
190599,"Foods, nutrition, and related services, other",nonstem
190601,"Housing and human environments, general",nonstem
190604,Facilities planning and management,nonstem
190699,"Housing and human environments, other",nonstem
190701,"Human development and family studies, general",nonstem
190702,Adult development and aging,nonstem
190704,Family systems,nonstem
190706,Child development,nonstem
190707,Family and community services,nonstem
190708,Child care and support services management,nonstem
190709,Child care provider/assistant,nonstem
19071,Developmental Services Worker,nonstem
190799,"Human development, family studies, and related services, other",nonstem
190901,"Apparel and textiles, general",nonstem
190902,Apparel and textile manufacture,nonstem
190904,Textile science,nonstem
190905,Apparel and textile marketing management,nonstem
190906,Fashion and fabric consultant,nonstem
190999,"Apparel and textiles, other",nonstem
199999,"Family and consumer sciences/human sciences, other",nonstem
22,Non-professional general legal studies (undergraduate),nonstem
220001,Pre-law studies,nonstem
220101,Law,nonstem
220201,"Advanced legal research/studies, general ",nonstem
220202,Programs for foreign lawyers,nonstem
220203,American/US law/legal studies/jurisprudence,nonstem
220205,"Banking, corporate, finance, and securities law",nonstem
220206,Comparative law,nonstem
220207,"Energy, environment, and natural resources law",nonstem
220208,Health law,nonstem
220209,International law and legal studies,nonstem
22021,"International business, trade, and tax law",nonstem
220211,Tax law/taxation,nonstem
220212,Intellectual property law,nonstem
220299,"Legal research and advanced professional studies (post-LLB/JD), other",nonstem
220301,Legal administrative assistant/secretary,nonstem
220302,Legal assistant/paralegal,nonstem
220303,Court reporting/court reporter,nonstem
220399,"Legal support services, other",nonstem
229999,"Legal professions and studies, other",nonstem
250101,Library science/librarianship,nonstem
250102,Children and Youth Library Services,nonstem
250103,Archives/archival administration,nonstem
259999,"Library science, other",nonstem
290203,Signal/Geospatial Intelligence,nonstem
30,"Multi-/interdisciplinary studies, general",nonstem
300101,Biological and physical sciences,nonstem
300501,Peace studies and conflict resolution,nonstem
300601,Systems science and theory,nonstem
300801,Mathematics and computer science,nonstem
301201,Historic preservation and conservation,nonstem
301202,Cultural resource management and policy analysis,nonstem
301299,"Historic preservation and conservation, other",nonstem
301401,Museology/museum studies,nonstem
301601,Accounting and computer science,nonstem
301801,Natural sciences,nonstem
302101,Holocaust and related studies,nonstem
302501,Cognitive science,nonstem
302601,Cultural studies/critical theory and analysis,nonstem
302701,Human biology,nonstem
302801,Dispute resolution,nonstem
302901,Maritime studies,nonstem
303001,Computational science,nonstem
303101,Human computer interaction,nonstem
303301,Sustainability studies,nonstem
309999,"Multi-/interdisciplinary studies, other",nonstem
310101,"Parks, recreation, and leisure studies",nonstem
310301,"Parks, recreation, and leisure facilities management",nonstem
310302,Golf course operation and grounds management,nonstem
310399,"Parks, recreation and leisure facilities management, other",nonstem
310507,Physical fitness technician,nonstem
310508,Sports studies,nonstem
319999,"Parks, recreation, leisure, and fitness studies, other",nonstem
430102,Corrections,nonstem
430103,Criminal justice/law enforcement administration,nonstem
430104,Criminal justice/safety studies,nonstem
430106,Forensic science and technology,nonstem
430107,Criminal justice/police science,nonstem
430109,Security and loss prevention services,nonstem
43011,Juvenile corrections,nonstem
430111,Criminalistics and criminal science,nonstem
430112,Securities services administration/management,nonstem
430113,Corrections administration,nonstem
430114,Law enforcement investigation and interviewing,nonstem
430116,Cyber/computer forensics and counterterrorism,nonstem
430117,Financial forensics and fraud investigation,nonstem
430118,Law enforcement intelligence analysis,nonstem
430119,Critical incident response/special police operations,nonstem
43012,Protective Services Operations,nonstem
430199,"Corrections and criminal justice, other",nonstem
430201,Fire protection and safety technology/technician,nonstem
430202,Fire services administration,nonstem
430203,Fire science/firefighting,nonstem
430205,Fire/arson investigation and prevention,nonstem
430206,Wildland/Forest Firefighting and Investigation,nonstem
430299,"Fire protection, other",nonstem
430301,Homeland security,nonstem
430302,Crisis/emergency/disaster management,nonstem
430303,Critical infrastructure protection,nonstem
430303,Terrorism and counterterrorism operations,nonstem
430304,Terrorism and Counterterrorism Operations,nonstem
430399,"Homeland security, other",nonstem
439999,"Security and protective services, other",nonstem
44,"Human services, general",nonstem
440201,Community organization and advocacy,nonstem
440401,Public administration,nonstem
440701,Social work,nonstem
440702,Youth services/administration,nonstem
440799,"Social work, other",nonstem
449999,"Public administration and social service professions, other",nonstem
46,"Construction Trades, General",nonstem
460101,Mason/masonry,nonstem
460201,Carpentry/carpenter,nonstem
460302,Electrician,nonstem
460401,Building/property maintenance and manager,nonstem
460412,Building/construction site management/manager,nonstem
460415,Building construction technology,nonstem
460499,"Building/construction finishing, management, and inspection, other",nonstem
469999,"Construction trades, other",nonstem
470101,"Electrical/electronics equipment installation and repair, general",nonstem
470102,Business machine repairer,nonstem
470103,Communications systems installation and repair technology,nonstem
470104,Computer installation and repair technology/technician,nonstem
470105,Industrial electronics technology/technician,nonstem
470201,"Heating, air conditioning, ventilation, and refrigeration maintenance tech/technician",nonstem
470302,Heavy equipment maintenance technology/technician,nonstem
470603,Autobody/collision and repair technology/technician,nonstem
470604,Automobile/automotive mechanics technology/technician,nonstem
470605,Diesel mechanics technology/technician,nonstem
470607,Airframe mechanics and aircraft maintenance technology/technician,nonstem
470608,Aircraft powerplant technology/technician,nonstem
470609,Avionics maintenance technology/technician,nonstem
470699,"Vehicle maintenance and repair technologies, other",nonstem
479999,"Mechanic and repair technologies/technicians, other",nonstem
480507,Tool and die technology/technician,nonstem
480702,Furniture design and manufacturing,nonstem
489999,"Precision production, other",nonstem
490101,"Aeronautics/aviation/aerospace science and technology, general",nonstem
490102,Airline/commercial/professional pilot and flight crew,nonstem
490104,Aviation/airway management and operations,nonstem
490105,Air traffic controller,nonstem
490106,Airline Flight Attendant,nonstem
490108,Flight instructor,nonstem
490199,"Air transportation, other",nonstem
490299,"Ground Transportation, Other",nonstem
490309,Marine science/merchant marine officer,nonstem
499999,"Transportation and materials moving, other",nonstem
501003,Music management,nonstem
51,"Health services/allied health/health sciences, general",nonstem
510716,Medical administrative/executive assistant and medical secretary,nonstem
510718,Long term care administration/management,nonstem
511503,Clinical/medical social work,nonstem
511505,Marriage and family therapy/counseling,nonstem
513501,Massage therapy/therapeutic massage,nonstem
520101,"Business/commerce, general",nonstem
520201,"Business administration and management, general",nonstem
520202,"Purchasing, procurement/acquisitions and contracts management",nonstem
520203,Logistics and materials management,nonstem
520204,Office management and supervision,nonstem
520205,Operations management and supervision,nonstem
520206,Non-profit/public/organizational management,nonstem
520207,Customer service management,nonstem
520208,E-commerce/electronic commerce,nonstem
520209,Transportation/transportation management,nonstem
52021,Research and development management,nonstem
520211,Project management,nonstem
520212,Retail management,nonstem
520213,Organizational leadership,nonstem
520299,"Business/managerial operations, other",nonstem
520301,Accounting,nonstem
520302,Accounting technology/technician and bookkeeping,nonstem
520303,Auditing,nonstem
520304,Accounting and finance,nonstem
520305,Accounting and business/management,nonstem
520399,"Accounting and related services, other",nonstem
520401,"Administrative assistant and secretarial science, general",nonstem
520402,Executive assistant/executive secretary,nonstem
520407,Business/office automation/technology/data entry,nonstem
520408,General office occupations and clerical services,nonstem
520409,"Parts, warehousing, and inventory management operations",nonstem
52041,"Traffic, Customs, and Transportation Clerk/Technician",nonstem
520499,"Business operations support and secretarial services, other",nonstem
520501,Business/corporate communications,nonstem
520601,Business/managerial economics,nonstem
520701,Entrepreneurship/entrepreneurial studies,nonstem
520702,Franchising and franchise operations,nonstem
520703,Small business administration/management,nonstem
520799,"Entrepreneurial and small business operations, other",nonstem
520801,"Finance, general",nonstem
520803,Banking and financial support services,nonstem
520804,Financial planning and services,nonstem
520806,International finance,nonstem
520807,Investments and securities,nonstem
520808,Public finance,nonstem
520809,Credit management,nonstem
520899,"Finance and financial management services, other",nonstem
520901,"Hospitality administration/management, general",nonstem
520903,Tourism and travel services management,nonstem
520904,Hotel/motel administration/management,nonstem
520905,Restaurant/food services management,nonstem
520906,Resort management,nonstem
520907,Meeting and event planning,nonstem
520908,Casino management,nonstem
520909,"Hotel, motel, and restaurant management",nonstem
520999,"Hospitality administration/management, other",nonstem
521001,"Human resources management/personnel administration, general",nonstem
521002,Labor and industrial relations,nonstem
521003,Organizational behavior studies,nonstem
521004,Labor studies,nonstem
521005,Human resources development,nonstem
521099,"Human resources management and services, other",nonstem
521101,International business/trade/commerce,nonstem
521201,"Management information systems, general",nonstem
521206,Information resources management/cio training,nonstem
521207,Knowledge management,nonstem
521299,"Management information systems and services, other",nonstem
521301,"Management science, general",nonstem
521399,"Management sciences and quantitative methods, other",nonstem
521401,"Marketing/marketing management, general",nonstem
521402,Marketing research,nonstem
521403,International marketing,nonstem
521499,"Marketing, other",nonstem
521501,Real estate,nonstem
521601,Taxation,nonstem
521701,Insurance,nonstem
521801,"Sales, distribution, and marketing operations, general",nonstem
521802,Merchandising and buying operations,nonstem
521803,Retailing and retail operations,nonstem
521804,Selling skills and sales operations,nonstem
521899,"General merchandising, sales, and related marketing operations, other",nonstem
521902,Fashion merchandising,nonstem
521904,Apparel and accessories marketing operations,nonstem
521905,Tourism and travel services marketing operations,nonstem
521906,Tourism promotion operations,nonstem
521907,Vehicle and vehicle parts and accessories marketing operations,nonstem
521908,Business and personal/financial services marketing operations,nonstem
521909,Special products marketing operations,nonstem
52191,Hospitality and recreation marketing operations,nonstem
521999,"Specialized merchandising, sales, and marketing operations, other",nonstem
522001,Construction management,nonstem
522101,Telecommunications management,nonstem
529999,"Business, management, marketing, and related support services, other",nonstem
540105,Public/applied history and archival administration,nonstem
999999,Unknown,Unknown
512401,Vet Medicine,NSTEM
510401,Dentistry,NSTEM
511201,Medicine,NSTEM
1,"Agriculture, General",NSTEM
10101,"Agricultural business and management, general",nonstem
10102,Agribusiness/agricultural business operations,nonstem
10103,Agricultural economics,nonstem
10104,Farm/farm and ranch management,nonstem
10201,"Agricultural Mechanization, General",nonstem
10301,"Agricultural Production Operations, General",nonstem
10302,Animal/livestock husbandry and production,nonstem
10303,Aquaculture,nonstem
10304,Crop production,nonstem
10308,Agreoecology and Sustainable Agriculture,nonstem
10401,Agricultural and food products processing,nonstem
10507,Equestrian/Equine Studies,nonstem
10601,"Applied Horticulture/Horticultural Operations, General",nonstem
10603,Ornamental Horticulture,nonstem
10605,Landscaping and Groundskeeping,nonstem
10607,Turf and turfgrass management,nonstem
10699,"Applied Horticulture/Horticultural Business Services, Other",nonstem
10701,International Agriculture,nonstem
10801,Agricultural and extension education services,NSTEM
10802,Agricultural Communication/Journalism,NSTEM
10901,"Animal Sciences, General",NSTEM
10903,Animal Health,NSTEM
10905,Dairy Science,NSTEM
10907,Poultry Science,NSTEM
10999,"Animal Sciences, Other",NSTEM
11001,Food science,NSTEM
11002,Food Technology and Processing,NSTEM
11101,"Plant Sciences, General",NSTEM
11102,Agronomy and Crop Science,NSTEM
11103,Horticultural Science,NSTEM
11106,Range Science and Management,NSTEM
11199,"Plant Sciences, Other",NSTEM
11201,"Soil science and agronomy, general",NSTEM
11202,Soil Chemistry and Physics,NSTEM
11299,"Soil Sciences, Other",NSTEM
19999,"Agriculture, Agriculture Operations, and Related Sciences, Other",NSTEM
30101,"Natural Resources/Conservation, General",NSTEM
30103,Environmental Studies,NSTEM
30104,Environmental Science,NSTEM
30201,Natural Resources Management and Policy,NSTEM
30204,Natural Resource Economics,NSTEM
30205,"Water, Wetlands, and Marine Resources Management",NSTEM
30206,Land use planning and management/development,NSTEM
30299,"Natural Resources Management and Policy, Other",NSTEM
30301,Fishing and fisheries sciences and management,NSTEM
30501,"Forestry, General",NSTEM
30502,Forest Sciences and Biology,NSTEM
30506,Forest Management/Forest Resources Management,NSTEM
30509,Wood Science and Wood Products/Pulp and Paper Technology,NSTEM
3051,Forest Resources Production and Management,NSTEM
30511,Forestry Technology/Technician,nonstem
30599,"Forestry, Other",NSTEM
30601,Wildlife and Wildlands Science and Management,NSTEM
40201,"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)",nonstem
40301,"City/Urban, Community, and Regional Planning",nonstem
40401,Environmental Design/Architecture,nonstem
40501,Interior Architecture,nonstem
40601,Landscape architecture,nonstem
49999,"Architecture and Related Services, Other",nonstem
50102,American/United States Studies/Civilization,nsfstem
50103,Asian Studies/Civilization,nsfstem
50105,Central/Middle and Eastern European Studies,nsfstem
50107,Latin American Studies,nsfstem
50108,Near and Middle Eastern Studies,nsfstem
5011,Russian Studies,nsfstem
50125,German Studies,nsfstem
50126,Italian Studies,nsfstem
50199,"Area Studies, Other",nsfstem
502,Ethnic Studies,nsfstem
50201,African-American/Black Studies,nsfstem
50202,American Indian/Native American Studies,nsfstem
50207,Women?s Studies,nonstem
50299,"Ethnic, Cultural Minority, and Gender Studies, Other",nsfstem
59999,"Area, Ethnic, Cultural, and Gender Studies, Other",nsfstem
901,"Communication, General",nonstem
90101,Communication studies/Speech communication and rhetoric ,nonstem
90102,Mass Communication/Media Studies,nonstem
90199,"Communication and media studies, other",nonstem
90401,Journalism,nonstem
90402,Broadcast Journalism,nonstem
90499,"Journalism, Other",nonstem
90701,Radio and Television,nonstem
90702,Digital Communication and Media/Multimedia,nonstem
909,"Public relations, Advertising, and Applied Communication",nonstem
90901,"Organizational Communication, General",nonstem
90902,Public relations/Image management,nonstem
90903,Advertising,nonstem
90907,International and Intercultural Communiation,nonstem
