cip6,field,category
261305,Environmental biology,NSTEM
261306,Population biology,NSTEM
261307,Conservation biology,NSTEM
261308,Systematic biology/biological systematics,NSTEM
26131,Ecology and evolutionary biology,NSTEM
261399,"Ecology, evolution, systematics, and population biology, other",NSTEM
261401,Molecular medicine,NSTEM
261501,Neuroscience,NSTEM
261502,Neuroanatomy,NSTEM
261503,Neurobiology and anatomy,NSTEM
261504,Neurobiology and behavior,NSTEM
261599,"Neurobiology and neurosciences, other",NSTEM
269999,"Biological and biomedical sciences, other",NSTEM
301001,Biopsychology,NSTEM
301901,Nutrition sciences,NSTEM
261309,Epidemiology,NSTEM
310505,Kinesiology and exercise science,NSTEM
510001,"Health and wellness, general",NSTEM
510201,"Communication disorders, general",NSTEM
510202,Audiology/audiologist and hearing sciences,NSTEM
510203,Speech-language pathology/pathologist,NSTEM
510204,Audiology/audiologist and speech-language pathology/pathologist,NSTEM
510299,"Communication disorders sciences and services, other",NSTEM
510501,"Dental clinical sciences, general",NSTEM
510502,Advanced general dentistry,NSTEM
510503,Oral biology and oral pathology,NSTEM
510504,Dental public health and education,NSTEM
510505,Dental materials,NSTEM
510506,Endodontics/endodontology,NSTEM
510507,Oral/maxillofacial surgery,NSTEM
510508,Orthodontics/orthodontology,NSTEM
510509,Pediatric dentistry/pedodontics,NSTEM
51051,Periodontics/periodontology,NSTEM
510511,Prosthodontics/prosthodontology,NSTEM
510599,"Advanced/graduate dentistry and oral sciences, other",NSTEM
510701,Health/health care administration/management,NSTEM
510702,Hospital and health care facilities administration/management,NSTEM
510706,Health information/medical records administration/administrator,NSTEM
510717,Medical staff services technology/technician,NSTEM
510799,"Health and medical administrative services, other",NSTEM
510809,Anesthesiologist assistant,NSTEM
510816,Speech-language pathology assistant,NSTEM
510914,Gene/genetic therapy,NSTEM
510915,Cardiopulmonary technology/technologist,NSTEM
510916,Radiation protection/health physics technician,NSTEM
510917,Polysomnography,NSTEM
51092,Magnetic resonance imaging (MRI) technology/technician,NSTEM
511101,Pre-dentistry studies,NSTEM
511102,Pre-medicine/pre-medical studies,NSTEM
511103,Pre-pharmacy studies,NSTEM
511104,Pre-veterinary studies,NSTEM
511105,Pre-nursing studies,NSTEM
511107,Pre-occupational therapy studies,NSTEM
511108,Pre-optometry studies,NSTEM
511109, pre-physical therapy studies,NSTEM
511401,"Medical scientist (MS, PhD)",NSTEM
511699,"Nursing, other",NSTEM
512001,Pharmacy,NSTEM
512002,Pharmacy administration and pharmacy policy and regulatory affairs,NSTEM
512003,Pharmaceutics and drug design,NSTEM
512005,Natural products chemistry and pharmacognosy,NSTEM
512006,Clinical and industrial drug development,NSTEM
512007,Pharmacoeconomics/pharmaceutical economics,NSTEM
512008,"Clinical, hospital, and managed care pharmacy",NSTEM
512009,Industrial and physical pharmacy and cosmetic sciences,NSTEM
51201,Pharmaceutical sciences,NSTEM
512011,Pharmaceutical marketing and management,NSTEM
512099,"Pharmacy, pharmaceutical sciences, and administration, other",NSTEM
512201,"Public health, general",NSTEM
512202,Environmental health,NSTEM
512205,Health/medical physics,NSTEM
512206,Occupational health and industrial hygiene,NSTEM
512207,Public health education and promotion,NSTEM
512208,Community health and preventive medicine,NSTEM
512209,Maternal and child health,NSTEM
51221,International public health/international health,NSTEM
512211,Health services administration,NSTEM
512212,Behavioral aspects of health,NSTEM
512299,"Public health, other",NSTEM
512306,Occupational therapy/therapist,NSTEM
512308,Physical therapy/therapist,NSTEM
